location,ksh,type,county,district,district_code,territory,population,number_of_households
Balkány,26958,város,Szabolcs-Szatmár-Bereg,Nagykálló,155 0,8998,6392,2464
Ballószög,13408,község,Bács-Kiskun,Kecskemét,038 0,3493,3459,1163
Balmazújváros,02918,város,Hajdú-Bihar,Balmazújváros,093 1,20534,17448,6790
Balogunyom,05102,község,Vas,Szombathely,181 0,1211,1106,421
Balotaszállás,25937,község,Bács-Kiskun,Kiskunhalas,041 0,10493,1483,729
Balsa,15963,község,Szabolcs-Szatmár-Bereg,Ibrány,151 0,2252,838,417
Bálványos,24457,község,Somogy,Siófok,146 0,2368,541,264
Bana,31422,község,Komárom-Esztergom,Komárom,112 0,2513,1629,570
Bánd,14173,község,Veszprém,Veszprém,191 0,983,648,245
Bánfa,07603,község,Baranya,Szigetvár,033 0,1206,168,81
Bánhorváti,25159,község,Borsod-Abaúj-Zemplén,Kazincbarcika,058 0,2847,1373,579
Bánk,24341,község,Nógrád,Rétság,119 0,990,659,304
Bánokszentgyörgy,08439,község,Zala,Letenye,195 0,3253,627,290
Bánréve,21953,község,Borsod-Abaúj-Zemplén,Putnok,063 0,662,1331,543
Bár,24378,község,Baranya,Mohács,027 0,900,522,237
Barabás,26480,község,Szabolcs-Szatmár-Bereg,Vásárosnamény,159 0,3820,916,382
Baracs,07047,község,Fejér,Dunaújváros,078 0,5516,3362,1378
Baracska,08581,község,Fejér,Martonvásár,081 0,3968,2670,1056
Báránd,26693,község,Hajdú-Bihar,Püspökladány,102 0,4254,2631,1153
Baranyahídvég,20464,község,Baranya,Sellye,030 0,849,178,73
Baranyajenő,24749,község,Baranya,Sásd,025 0,1555,412,158
Baranyaszentgyörgy,05485,község,Baranya,Sásd,025 0,727,154,76
Barbacs,06196,község,Győr-Moson-Sopron,Csorna,086 0,1364,731,315
Barcs,32799,város,Somogy,Barcs,140 1,12292,10858,4538
Bárdudvarnok,03735,község,Somogy,Kaposvár,143 0,4856,1098,511
Barlahida,27447,község,Zala,Lenti,194 0,605,109,86
Bárna,20048,község,Nógrád,Salgótarján,120 0,1539,1024,456
Barnag,15778,község,Veszprém,Veszprém,191 0,1201,128,75
Bársonyos,08624,község,Komárom-Esztergom,Kisbér,111 0,1685,751,298
Basal,15495,község,Baranya,Szigetvár,033 0,403,167,78
Baskó,08846,község,Borsod-Abaúj-Zemplén,Gönc,057 0,2963,181,91
Báta,11712,község,Tolna,Szekszárd,173 0,6619,1683,768
Bátaapáti,28909,község,Tolna,Bonyhád,170 0,2044,423,140
Bátaszék,08864,város,Tolna,Szekszárd,173 0,6368,6217,2522
Baté,32337,község,Somogy,Kaposvár,143 0,1028,809,298
Bátmonostor,03656,község,Bács-Kiskun,Baja,035 0,3795,1503,698
Bátonyterenye,33534,város,Nógrád,Bátonyterenye,117 1,7893,12443,5708
Bátor,24022,község,Heves,Eger,104 0,2732,343,193
Bátorliget,02990,község,Szabolcs-Szatmár-Bereg,Nyírbátor,156 0,3328,669,334
Battonya,18102,város,Békés,Mezőkovácsháza,049 0,14571,5960,3011
Bátya,11961,község,Bács-Kiskun,Kalocsa,037 0,3391,2016,939
Batyk,24864,község,Zala,Zalaszentgrót,198 0,809,373,190
Bázakerettye,18698,község,Zala,Letenye,195 0,803,809,385
Bazsi,07427,község,Veszprém,Sümeg,188 0,910,398,180
Béb,22901,község,Veszprém,Pápa,187 0,703,229,100
Becsehely,23144,község,Zala,Letenye,195 0,3607,2069,750
Becske,12016,község,Nógrád,Balassagyarmat,116 0,1566,530,292
Becskeháza,27049,község,Borsod-Abaúj-Zemplén,Edelény,055 0,500,27,33
Becsvölgye,18360,község,Zala,Zalaegerszeg,197 0,2140,770,348
Bedegkér,20710,község,Somogy,Tab,147 0,2600,412,198
Bedő,33446,község,Hajdú-Bihar,Berettyóújfalu,094 0,1019,291,141
Bejcgyertyános,10384,község,Vas,Sárvár,179 0,3143,438,265
Békás,27058,község,Veszprém,Pápa,187 0,652,204,95
Bekecs,06929,község,Borsod-Abaúj-Zemplén,Szerencs,066 0,2572,2485,956
Békés,09760,város,Békés,Békés,045 1,12723,19433,8381
Békéscsaba,15200,megyeszékhely,Békés,Békéscsaba,046 1,19393,60334,29303
Békéssámson,26189,község,Békés,Orosháza,050 0,7121,2381,1107
Békésszentandrás,02680,nagyközség,Békés,Szarvas,052 0,7745,3608,1938
Bekölce,04400,község,Heves,Bélapátfalva,103 0,1377,591,338
Bélapátfalva,33260,város,Heves,Bélapátfalva,103 1,3663,3041,1117
Bélavár,06910,község,Somogy,Barcs,140 0,2278,342,221
Belecska,28662,község,Tolna,Tamási,174 0,1439,365,138
Beled,10588,város,Győr-Moson-Sopron,Kapuvár,088 0,2647,2640,1093
Beleg,17127,község,Somogy,Nagyatád,145 0,1799,601,225
Belezna,09168,község,Zala,Nagykanizsa,196 0,3094,733,287
Bélmegyer,19390,község,Békés,Békés,045 0,6305,968,530
Beloiannisz,08466,község,Fejér,Dunaújváros,078 0,454,1029,432
Belsősárd,20950,község,Zala,Lenti,194 0,979,94,43
Belvárdgyula,19008,község,Baranya,Bóly,024 0,1723,403,167
Benk,25441,község,Szabolcs-Szatmár-Bereg,Záhony,160 0,842,418,175
Bénye,25098,község,Pest,Monor,130 0,1651,1220,511
Bér,32911,község,Nógrád,Pásztó,118 0,2549,323,196
Bérbaltavár,32124,község,Vas,Vasvár,182 0,2566,531,289
Bercel,02389,község,Nógrád,Balassagyarmat,116 0,3588,2044,746
Beregdaróc,28246,község,Szabolcs-Szatmár-Bereg,Vásárosnamény,159 0,2382,950,345
Beregsurány,20677,község,Szabolcs-Szatmár-Bereg,Vásárosnamény,159 0,1601,814,230
Berekböszörmény,18467,község,Hajdú-Bihar,Berettyóújfalu,094 0,4283,1923,762
Berekfürdő,34005,község,Jász-Nagykun-Szolnok,Karcag,163 0,1857,1010,520
Beremend,31927,nagyközség,Baranya,Siklós,031 0,4826,2428,1012
Berente,34290,község,Borsod-Abaúj-Zemplén,Kazincbarcika,058 0,920,1211,399
Beret,29674,község,Borsod-Abaúj-Zemplén,Encs,056 0,677,274,91
Berettyóújfalu,12788,város,Hajdú-Bihar,Berettyóújfalu,094 1,17100,15008,6471
Berhida,33127,város,Veszprém,Várpalota,190 0,4273,5833,2038
Berkenye,09034,község,Nógrád,Rétság,119 0,1346,602,273
Berkesd,16461,község,Baranya,Pécs,028 0,1904,863,295
Berkesz,07472,község,Szabolcs-Szatmár-Bereg,Kemecse,152 0,1317,834,304
